Second	APD1 Code 0	Error Code 1	APD1 Ratio	APD2 Code 1	Error Code 0	APD2 Ratio	
0	5	2	 2.5	 4	 2	 2.0
1	14	1	 14.0	 4	 1	 4.0
2	9	1	 9.0	 7	 0	 Infinity
3	7	0	 Infinity	 5	 1	 5.0
4	4	0	 Infinity	 5	 0	 Infinity
5	2	1	 2.0	 7	 0	 Infinity
6	3	1	 3.0	 4	 2	 2.0
7	2	1	 2.0	 2	 1	 2.0
8	3	1	 3.0	 4	 0	 Infinity
9	8	1	 8.0	 3	 0	 Infinity
10	6	1	 6.0	 4	 0	 Infinity
11	3	1	 3.0	 3	 1	 3.0
12	9	0	 Infinity	 3	 2	 1.5
13	0	2	 0.0	 3	 1	 3.0
14	3	1	 3.0	 9	 0	 Infinity
15	3	2	 1.5	 9	 0	 Infinity
16	6	0	 Infinity	 5	 1	 5.0
17	1	3	 0.33333334	 5	 1	 5.0
18	5	1	 5.0	 7	 1	 7.0
19	0	0	 NaN	 3	 0	 Infinity
20	3	0	 Infinity	 4	 1	 4.0
21	1	1	 1.0	 6	 2	 3.0
22	4	1	 4.0	 4	 0	 Infinity
23	5	2	 2.5	 4	 0	 Infinity
24	6	1	 6.0	 11	 3	 3.6666667
25	9	3	 3.0	 6	 2	 3.0
26	3	0	 Infinity	 2	 0	 Infinity
27	4	1	 4.0	 7	 0	 Infinity
28	6	0	 Infinity	 7	 2	 3.5
29	5	0	 Infinity	 6	 1	 6.0
30	5	0	 Infinity	 1	 3	 0.33333334
31	4	0	 Infinity	 4	 1	 4.0
32	6	2	 3.0	 5	 1	 5.0
33	7	2	 3.5	 5	 0	 Infinity
34	7	1	 7.0	 2	 2	 1.0
35	6	0	 Infinity	 3	 1	 3.0
36	8	0	 Infinity	 10	 0	 Infinity
37	6	0	 Infinity	 7	 1	 7.0
38	4	1	 4.0	 2	 1	 2.0
39	6	1	 6.0	 4	 0	 Infinity
40	2	1	 2.0	 4	 1	 4.0
41	3	1	 3.0	 2	 0	 Infinity
42	4	2	 2.0	 4	 1	 4.0
43	4	0	 Infinity	 2	 1	 2.0
44	4	0	 Infinity	 4	 0	 Infinity
45	3	1	 3.0	 3	 0	 Infinity
46	5	0	 Infinity	 6	 1	 6.0
47	3	0	 Infinity	 1	 1	 1.0
48	5	0	 Infinity	 5	 0	 Infinity
49	8	1	 8.0	 6	 1	 6.0
50	7	0	 Infinity	 4	 0	 Infinity
51	5	1	 5.0	 10	 0	 Infinity
52	3	0	 Infinity	 4	 0	 Infinity
53	8	1	 8.0	 6	 3	 2.0
54	4	0	 Infinity	 6	 2	 3.0
55	1	3	 0.33333334	 4	 1	 4.0
56	4	1	 4.0	 4	 0	 Infinity
57	2	0	 Infinity	 5	 2	 2.5
58	6	0	 Infinity	 5	 0	 Infinity
