Second	APD1 Code 0	Error Code 1	APD1 Ratio	APD2 Code 1	Error Code 0	APD2 Ratio	
0	8	0	 Infinity	 10	 2	 5.0
1	2	1	 2.0	 4	 0	 Infinity
2	7	1	 7.0	 5	 0	 Infinity
3	4	2	 2.0	 4	 0	 Infinity
4	4	0	 Infinity	 5	 0	 Infinity
5	5	1	 5.0	 4	 1	 4.0
6	8	2	 4.0	 5	 0	 Infinity
7	4	1	 4.0	 4	 3	 1.3333334
8	1	1	 1.0	 2	 0	 Infinity
9	8	0	 Infinity	 4	 1	 4.0
10	7	1	 7.0	 5	 1	 5.0
11	7	0	 Infinity	 3	 1	 3.0
12	4	2	 2.0	 5	 0	 Infinity
13	5	1	 5.0	 6	 1	 6.0
14	4	2	 2.0	 2	 0	 Infinity
15	2	0	 Infinity	 7	 3	 2.3333333
16	6	0	 Infinity	 9	 0	 Infinity
17	4	2	 2.0	 8	 0	 Infinity
18	6	0	 Infinity	 6	 0	 Infinity
19	3	1	 3.0	 11	 1	 11.0
20	3	0	 Infinity	 7	 0	 Infinity
21	11	2	 5.5	 7	 1	 7.0
22	4	0	 Infinity	 3	 0	 Infinity
23	4	1	 4.0	 2	 1	 2.0
24	5	0	 Infinity	 5	 0	 Infinity
25	5	1	 5.0	 2	 0	 Infinity
26	2	0	 Infinity	 3	 0	 Infinity
27	4	0	 Infinity	 9	 0	 Infinity
28	2	2	 1.0	 5	 1	 5.0
29	6	0	 Infinity	 3	 3	 1.0
30	6	0	 Infinity	 5	 0	 Infinity
31	11	2	 5.5	 4	 0	 Infinity
32	8	0	 Infinity	 5	 0	 Infinity
33	7	1	 7.0	 1	 0	 Infinity
34	7	0	 Infinity	 5	 1	 5.0
35	7	2	 3.5	 2	 0	 Infinity
36	4	0	 Infinity	 4	 1	 4.0
37	5	0	 Infinity	 4	 1	 4.0
38	7	0	 Infinity	 5	 0	 Infinity
39	6	0	 Infinity	 5	 1	 5.0
40	4	2	 2.0	 6	 0	 Infinity
41	3	1	 3.0	 2	 0	 Infinity
42	5	0	 Infinity	 7	 1	 7.0
43	7	1	 7.0	 6	 2	 3.0
44	4	3	 1.3333334	 5	 1	 5.0
45	4	1	 4.0	 3	 1	 3.0
46	3	0	 Infinity	 6	 0	 Infinity
47	2	0	 Infinity	 3	 1	 3.0
48	3	2	 1.5	 4	 0	 Infinity
49	3	1	 3.0	 9	 0	 Infinity
50	7	0	 Infinity	 2	 0	 Infinity
51	3	0	 Infinity	 9	 1	 9.0
52	3	0	 Infinity	 5	 2	 2.5
53	8	2	 4.0	 1	 0	 Infinity
54	5	0	 Infinity	 6	 0	 Infinity
55	5	0	 Infinity	 5	 1	 5.0
56	8	0	 Infinity	 5	 0	 Infinity
57	4	0	 Infinity	 8	 0	 Infinity
58	5	1	 5.0	 6	 2	 3.0
